Time,AWY (m3),Wsed (Ton),WN (Kg),WP (kg),BF (m3),WC (Ton)
0,800000000.0,100000.0,700000.0,500000.00000000006,94822500.0,150.00000000000003
1,685946965.5154244,133227.8849166244,746548.4896704899,583102.5736721292,66011182.16231946,75.08914836197857
2,640202926.0862175,159847.99821737965,772287.1760189866,636088.6972823903,57287295.02309908,60.05710917719185
3,619497529.5627565,177636.8460443766,785866.4676233155,666440.0665893166,53728544.04010345,54.58088413578193
4,609616042.9909524,188129.81137944647,792853.4753801747,682768.0981556762,52106251.70291338,52.19554412777045
5,604781215.3162098,193869.3139936569,796402.2214949401,691256.2235472961,51329484.381583266,51.076793350434095
6,602386796.833826,196879.66755163408,798192.7852690791,695590.254960682,50948826.08895056,50.53393930933068
7,601193863.1501077,198423.86322993395,799093.2252699874,697782.9252829569,50760161.06930367,50.266185670198205
8,600597755.6828892,199206.94287616955,799545.2789875041,698887.072180631,50666129.23030361,50.13305552591081
9,600299438.7119397,199601.74216585435,799772.0349997141,699441.7720762645,50619132.6089318,50.06659732992742
10,600150037.5093774,199800.19980019983,799885.7306099128,699720.1119552179,50595611.28526645,50.03335557038026
11,600075187.5057986,199899.81276583727,799942.7255597595,699859.6957020735,50583830.91946624,50.01671182495646
12,600037680.6627113,199949.7748873477,799971.2937565946,699929.67424593,50577928.81394567,50.00837435713397
13,600018884.4755305,199974.8246611515,799985.6125397616,699964.7518634608,50574971.27210498,50.00419677026736
14,600009464.5094597,199987.3816492745,799992.7891239166,699982.3336402233,50573489.12000516,50.00210327962025
15,600004743.4539906,199993.67564467332,799996.3859847148,699991.1457345501,50572746.316974156,50.001054114776075
16,600002377.3492084,199996.830263852,799998.1886975954,699995.562327194,50572374.04178628,50.000528303312855
17,600001191.4947182,199998.4113561496,799999.0921973333,699997.7758880095,50572187.46427651,50.000264777480375
18,600000597.1613501,199999.20378882866,799999.5450206351,699998.8853016975,50572093.95452842,50.000132702742384
19,600000299.2894965,199999.60094833322,799999.7719700861,699999.4413269977,50572047.088766545,50.000066508832305
20,600000150.0000376,199999.80000020002,799999.8857143021,699999.720000112,50572023.60027768,50.00003333335555
21,600000075.1780944,199999.89976260348,799999.942721463,699999.8596676028,50572011.82815513,50.0000167062467
22,600000037.6782988,199999.94976228397,799999.9712927275,699999.9296671869,50572005.92811966,50.000008372956174
23,600000018.8838818,199999.97482149492,799999.9856122814,699999.9647500901,50572002.971097715,50.000004196418395
24,600000009.4643604,199999.9873808539,799999.9927890591,699999.9823331948,50572001.4890762,50.000002103191235
25,600000004.7434165,199999.9936754449,799999.9963859684,699999.9911456227,50572000.74630597,50.00000105409257
26,600000002.3773398,199999.99683021367,799999.9981886935,699999.995562299,50572000.374039024,50.00000052829774
27,600000001.1914923,199999.99841134355,799999.9990921963,699999.997775881,50572000.18746358,50.000000264776084
28,600000000.5971608,199999.99920378567,799999.9995450203,699999.9988853,50572000.093954355,50.00000013270239
29,600000000.2992893,199999.9996009475,799999.99977197,699999.9994413266,50572000.04708872,50.00000006650874
30,600000000.15,199999.9998,799999.9998857144,699999.99972,50572000.023600265,50.000000033333336
