Time,AWY (m3),Wsed (Ton),WN (Kg),WP (kg),BF (m3),WC (Ton)
0,800000000.0,100000.0,700000.0,500000.00000000006,94822500.0,150.00000000000003
1,798634465.5154244,84396.6349166244,671423.4896704899,470415.0736721292,92130829.97481945,150.21414836197857
2,963440875.5760684,34429.11922791795,563165.1658327703,331960.61621359206,125767252.1668393,269.1791193634082
3,1046731863.4804847,42106.21853593073,528734.7742242082,306273.07030972274,131224239.68143228,311.7125775348893
4,1102898541.9380317,50340.16741172885,514899.21799471317,295476.9149202989,133858446.73099536,330.14980151323203
5,1104544382.159671,55876.68855898644,516474.1386986956,301351.5982166653,133493928.9114562,331.00487614667867
6,1102378946.7727358,58879.91130716185,518195.1650036128,305593.41391376045,133127827.18905629,330.53155957479703
7,1101193603.406777,60423.87127574292,519093.3038996244,307783.02974138694,132939644.56556672,330.26610704056117
8,1100597747.0862443,61206.943141878204,519545.2815867698,308887.07563599566,132845628.6842084,330.1330529266451
9,1100299438.4273405,61601.74217463352,519772.0350856775,309441.7721906038,132798632.59085679,330.066597243964
10,1100150037.4999533,61800.19980049002,519885.73061275686,309720.11195900256,132775111.28466803,330.03335556753615
11,1100075187.5054865,61899.81276584687,519942.72555985366,309859.6957021988,132763330.91944642,330.01671182486234
12,1100037680.662701,61949.77488734803,519971.2937565978,309929.6742459342,132757428.81394503,330.00837435713083
13,1100018884.4755301,61974.824661151506,519985.6125397617,309964.7518634609,132754471.27210496,330.00419677026724
14,1100009464.5094597,61987.381649274495,519992.78912391665,309982.33364022325,132752989.12000516,330.00210327962026
15,1100004743.4539905,61993.67564467332,519996.38598471484,309991.1457345501,132752246.31697416,330.0010541147761
16,1100002377.3492084,61996.830263851996,519998.1886975954,309995.562327194,132751874.04178628,330.0005283033129
17,1100001191.494718,61998.41135614959,519999.09219733335,309997.77588800946,132751687.46427651,330.00026477748037
18,1100000597.1613503,61999.20378882866,519999.5450206351,309998.88530169753,132751593.95452842,330.0001327027424
19,1100000299.2894964,61999.60094833322,519999.77197008615,309999.4413269977,132751547.08876655,330.00006650883233
20,1100000150.0000377,61999.80000020002,519999.8857143021,309999.72000011196,132751523.60027768,330.00003333335553
21,1100000075.1780944,61999.89976260348,519999.94272146304,309999.8596676028,132751511.82815513,330.0000167062467
22,1100000037.678299,61999.94976228397,519999.9712927275,309999.9296671869,132751505.92811966,330.0000083729562
23,1100000018.8838818,61999.97482149492,519999.98561228137,309999.96475009015,132751502.97109771,330.0000041964184
24,1100000009.4643602,61999.98738085391,519999.99278905906,309999.9823331948,132751501.4890762,330.00000210319126
25,1100000004.7434165,61999.993675444886,519999.9963859684,309999.9911456227,132751500.74630597,330.0000010540926
26,1100000002.3773398,61999.99683021367,519999.99818869354,309999.99556229904,132751500.37403902,330.00000052829773
27,1100000001.1914923,61999.99841134355,519999.99909219635,309999.99777588097,132751500.18746358,330.0000002647761
28,1100000000.5971608,61999.99920378567,519999.9995450203,309999.9988853,132751500.09395435,330.0000001327024
29,1100000000.2992892,61999.999600947514,519999.99977197,309999.9994413266,132751500.04708871,330.00000006650873
30,1100000000.15,61999.99979999999,519999.9998857144,309999.99971999996,132751500.02360027,330.0000000333333
